Model,Accuracy,Macro Precision,Macro Recall,Macro F1
XGBoost,0.7984025004341031,0.7631607483580618,0.6316214817975695,0.6620587731699641
Decision Tree,0.7499565896857093,0.637313858760785,0.6364680384449636,0.6368645618952239
KNN,0.698645598194131,0.6068373403547241,0.5437468013379391,0.5603940547342062
Logistic Regression,0.7297273832262545,0.7055505290963904,0.5141195474012492,0.5125603724268902
Naive Bayes,0.5125021705157146,0.48814512963749707,0.5194251362437914,0.4529810359754805
SVM,0.39902760895988887,0.4114914232175633,0.3404597604796073,0.2039480546887674
